Date		Hour	LocalHum	LocalTmp	LocalEto	CIMISHum	CIMISTmp	CIMISEto
2020-6-11	1100	56.05		73.12		0.00		72.0		63.1		0.0
2020-6-11	1200	54.22		73.08		0.00		71.0		64.2		0.0
2020-6-11	1300	55.48		73.87		0.00		74.0		63.9		0.0
2020-6-11	1400	56.22		74.45		0.00		75.0		64.2		0.0
2020-6-11	1500	55.63		75.67		0.03		73.0		66.1		0.02
2020-6-11	1600	54.96		74.99		0.02		61.0		71.9		0.02
2020-6-11	1700	55.46		74.57		0.02		63.0		70.4		0.01
2020-6-11	1800	55.03		75.09		0.01		66.0		68.3		0.01
2020-6-11	1900	55.43		75.49		0.01		73.0		64.8		0.0
2020-6-11	2000	56.52		75.86		0.00		78.0		63.1		0.0
2020-6-11	2100	57.35		76.43		0.00		79.0		62.9		0.0
2020-6-11	2200	56.49		75.13		0.00		79.0		63.1		0.0
2020-6-11	2300	54.00		76.24		0.00		78.0		63.1		0.0
2020-6-11	2400	54.25		75.97		0.00		78.0		62.8		0.0
2020-6-12	0100	55.03		75.70		0.00		79.0		62.2		0.0
2020-6-12	0200	55.03		75.89		0.00		80.0		61.7		0.0
2020-6-12	0300	55.03		75.69		0.00		81.0		61.4		0.0
2020-6-12	0400	55.03		76.89		0.00		84.0		61.5		0.0
2020-6-12	0500	55.03		75.12		0.00		80.0		62.9		0.0
2020-6-12	0600	55.03		75.75		0.00		79.0		62.2		0.0
2020-6-12	0700	55.03		75.49		0.00		80.0		61.7		0.0
2020-6-12	0800	55.03		75.69		0.00		81.0		61.4		0.0
2020-6-12	0900	55.03		76.89		0.00		84.0		61.5		0.0
2020-6-12	1000	54.42		75.12		0.00		80.0		62.9		0.0
